HSCode,ShipperName,ShipperFullAddress,ShipperLocalDUNS,ShipperPanjivaID,ShipperCleanedStockTickers,ShipperOriginalFormat,GrossWeightKg,ValueOfGoodsFOBUSD,ExportValue
03044120,Salmones Aysen S.A.,SANTIAGO SA,,23498894,, SALMONES AYSEN S.A.,2582.0,14479.68,17851.28
03021410,Empresas Aquachile S.A.,"CARDONAL S/N LOTE B PUERTO MONTT, DE LOS LAGOS - X 5480000",,40758905,AQUACHILE-CL, EMPRESAS AQUACHILE S.A.,22100.0,95115.51,95115.51
03038953,Emp.De Des.Pesquero De Chile S,LAS CONDES,,23406334,, EMP.DE DES.PESQUERO DE CHILE S,18473.0,94264.11,97808.87
03031310,Los Fiordos Ltda,"DIEGO PORTALES 2000 PISO 8, PUERTO MONTT PUERTO MONTT, LOS RíOS 5480000",,28819576,, EXPORTADORA LOS FIORDOS LTDA. -,20357.54,48743.61,51293.61
03044120,Salmones Humboldt Ltda,AVDA. JUAN SOLER MANFREDININ 41 EDIFICIO TORRE COSTANERA PISO 15 OF. 1501 PUERTO MONTT CHILE,,33478297,"MSBHY-US, 8058-JP", SALMONES HUMBOLDT LTDA.,2840.0,14478.04,18454.04
03035519,Marfood S.A.,CORONEL,,23491864,, MARFOOD S.A.,25200.0,34800.0,36400.0
03031320,Salmones Aysen S.A.,SANTIAGO SA,,23498894,, SALMONES AYSEN S.A.,24761.09,98095.41,101295.41
03079999,Marfood S.A.,CORONEL,,23491864,, MARFOOD S.A.,28350.0,16749.0,21600.0
03021410,Marine Harvest Chile Sa,H9231698 PUERTO MONTT,,33593588,"MHG-NO, MHGVY-US", MARINE HARVEST CHILE S.A.,3188.0,10194.81,14832.41
03048120,Marine Harvest Chile Sa,H9231698 PUERTO MONTT,,33593588,"MHG-NO, MHGVY-US", MARINE HARVEST CHILE S.A.,23814.55,87845.79,94600.0
03031220,Salmones Pacific Star S.A.,PUERTO MONTT,,33932638,, SALMONES PACIFIC STAR S.A.,23809.0,96731.8,99881.8
03021410,Australis Mar S.A.,KLENER 547 2ND FLOOR PUERTO VARAS CHILE,,23435325,"AUSTRA-CL, AUSTRALIS-CL", AUSTRALIS MAR S.A.,5151.0,19112.93,33482.88
03021410,Los Fiordos Ltda,"DIEGO PORTALES 2000 PISO 8, PUERTO MONTT PUERTO MONTT, LOS RíOS 5480000",,28819576,, EXPORTADORA LOS FIORDOS LTDA.,5458.83,21491.14,33985.04
"03044120,03045200",Salmones Camanchaca S.A.,TOME,,23411494,, SALMONES CAMANCHACA S.A.,3146.0,19998.52,24124.41
03044120,Salmones Multiexport S.A.,"AV. CARDONAL 2501 PUERTO MONTT, DE LOS LAGOS - X",980380745.0,4952254,MULTIFOODS-CL, SALMONES MULTIEXPORT S.A.,1114.0,6019.71,7427.21
03044120,Salmones Blumar S.A.,PUERTO MONTT,,23577779,BLUMAR-CL, SALMONES BLUMAR S.A.,2578.0,20476.45,20476.45
03031320,Exportadora Blue Sea Chile Spa,PUERTO MONTT,,44561522,, EXPORTADORA BLUE SEA CHILE SPA,22399.08,64168.15,68948.15
03044120,Marine Harvest Chile Sa,H9231698 PUERTO MONTT,,33593588,"MHG-NO, MHGVY-US", MARINE HARVEST CHILE S.A.,8404.0,47760.0,47760.0
03021410,Marine Harvest Chile Sa,H9231698 PUERTO MONTT,,33593588,"MHG-NO, MHGVY-US", MARINE HARVEST CHILE S.A.,24410.0,86449.99,86449.99
03044120,Productos Del Mar Ventisqueros Sa,PUERTO MONTT,,33641348,, PRODUCTOS DEL MAR VENTISQUEROS S.A.,5442.0,31236.3,38053.8
"03025413,03025414",Importadora Y Exportadora Los Elefantes Ltda,LAS CONDES,,33627508,, IMPORT. Y EXPORT. LOS ELEFANTES LTDA,4081.0,13813.05,20995.61
03031310,Cermaq Chile S.A.,PUERTO MONTT,,36824242,, CERMAQ CHILE S.A,20905.51,76164.89,82003.29
