HSCode,ShipperName,ShipperFullAddress,ShipperLocalDUNS,ShipperPanjivaID,ShipperCleanedStockTickers,ShipperOriginalFormat,NetWeightKg,ValueOfGoodsFOBUSD
0307490000,Consorcio Industrial El Pacifico Socieda,AV. LA MAR NRO. 638 INT. 703 LIMA - LIMA - MIRAFLORES - LIMA,934056094,28783010,,CONSORCIO INDUSTRIAL EL PACIFICO SOCIEDA,24000.0,24595.0
0307490000,Perupez S.A.C.,CAL.LOS RUISEÑORES OESTE NRO. 225 (ALT CDRA 33 DE AV REPUBLI,,28343408,,PERUPEZ S.A.C.,22000.0,28024.0
0302510000,Empresa Pesquera Ocean Fish S.A.C.,CAL. LAS PECANAS NRO. 112 URB. RESIDENCIAL MONTERRICO,,28781985,,EMPRESA PESQUERA OCEAN FISH S.A.C.,1509.33,32483.13
0307490000,Corp. De Ingenieria De Refrigeracion,AV. LA MARINA N224 LIMA LIMA PERU,,44374049,,CORP DE INGENIERIA DE REFRIGERACION SRL,27280.0,29612.2
0304890000,Perupez S.A.C.,CAL.LOS RUISEÑORES OESTE NRO. 225 (ALT CDRA 33 DE AV REPUBLI,,28343408,,PERUPEZ S.A.C.,18160.0,208700.0
0306171200,Corporacion Refrigerados Iny S. A.,CAR. PANAMERICANA NORTE NRO. 1252 TUMBES - TUMBES - LA CRUZ,,28780363,,CORPORACION REFRIGERADOS INY SA,1263.64,10669.4
0307490000,Armadores Y Congeladores Del,AV A 4041 MZ F LOTE 1 ZONA INDUSTRI PAITA PIURA,,2215479,,ARMADORES Y CONGELADORES DEL PACIFICO SA,11000.0,7803.34
0303660000,Inversiones Peru Pacifico S.A,CAL. FRAY MARTIN DE MURUA NRO. 150 INT. 1304 URB. MARANGA LI,,29774520,,INVERSIONES PERU PACIFICO S.A,27011.0,34903.54
0304990000,Matarani Sociedad Anonima Cerrada,AV. FELIPE PARDO Y ALIAGA NRO. 699 INT. 601 A,,36700980,,MATARANI SOCIEDAD ANONIMA CERRADA,8506.32,57791.57
0304990000,Sakana Del Peru S.A,CAL. SINCHI ROCA NRO. 2751 U.V. SINCHI ROCA LIMA LINCE,934733866,1240419,1334-JP,SAKANA DEL PERU S.A,22920.0,119408.0
0307490000,M.I.K Carpe S.A.C,CAR. PAITA-SULLANA MZA. V LOTE. 01 ZONA INDUSTRIAL (SUB LOTE,,40579932,,MIK CARPE S.A.C.,22000.0,18245.0
0304310000,Cultimarine S.A.C.,AV. CONQUISTADORES NRO. 638 INT. 201 (ALTURA CUADRA 6 AV. CO,,33453542,,CULTIMARINE S.A.C.,476.28,4500.51
0307490000,Axsa Servicios Generales Sociedad Anonim,CAL.MARTIN DE MURUA NRO. 150 INT. 1303LIMA - LIMA - SAN MIGU,,37606819,,AXSA SERVICIOS GENERALES SOCIEDAD ANONIM,23428.0,10308.32
0306171300,Garcia Barrantes Hector Manuel,AV TACNA 114 - TUMBES - PERU,934620642,4303174,,GARCIA BARRANTES HECTOR MANUEL,19268.6,144425.2
1605540000,Altamar Foods Peru S.A.C.,AV. INDUSTRIAL MZA. R LOTE. 05 Z.I. ZONA INDUSTRIAL II (AL C,,28437527,,ALTAMAR FOODS PERU S.R.L.,26200.0,25938.0
0307490000,Marfrio   Vieira Peru S.A.,AV. EMILIO CAVENECIA 225 OF. 317 SAN ISIDRO LIMA - PERU,934967647,34136236,,MARFRIO - VIEIRA PERU S.A.,13860.0,7623.0
0301110000,Acuario Valentina E.I.R.L,CALLE NAUTA NO.358 PUNCHANA,934315162,44381004,,ACUARIO VALENTINA E.I.R.L,450.0,840.0
0307291000,Azul Recursos S.A.C.,JR. BOLIVAR NRO. 375 CERCADO PAITA (CERCA A PLAZA DE ARMAS),,44469250,,AZUL RECURSOS S.A.C.,3880.0,54708.8
